Protein,Delta,DeltaSquared
Plate1_P20_TLR2_R&D,0.005057766,0.064459815
Plate1_P21_FZD10_Aviva,0.001981509,0.056290235
Plate1_P22_PRDX6_R&D,0.064614361,0.096043852
Plate1_P23_FZD4_Aviva,0.040399754,0.036820616
Plate1_P24_SPRED1_R&D,0.071997322,0.175551786
Plate1_P3_RXRB_Aviva,0.037467112,0.084784576
Plate1_P4_COMP_MyBio,0.007522095,0.008065717
Plate1_P5_NFATC1_Aviva,0.010613203,0.031612034
Plate1_P6_COMP_MyBio,0.000899919,0.098494627
Plate1_P7_ACTB_Aviva,-0.015548533,0.021959286
Plate1_P8_UBC_Novus,-0.011441457,0.075822482
Plate1_P9_RARA_Aviva,0.016651865,0.036989413
Plate10_A1_DCD_Santa,-0.024043795,0.050978341
Plate10_A12_SFPQ_Abnova,-0.032567035,0.092864313
Plate10_A13_SIN3A_Santa,-0.130261214,0.070862694
Plate10_A14_SFRS3_Abcam,-0.111358943,0.086360048
Plate10_A15_SIN3A_Abcam,-0.087908106,0.102368478
Plate10_A16_UBXN1_Sigma,0.012479061,0.168201545
Plate10_A17_PTPRM_Santa,0.078733176,0.07295943
Plate10_A18_SSB_Sigma,-0.003834146,0.017615178
Plate10_A19_PTPRM_Santa,0.000617131,0.0316762
Plate10_A2_ILK_R&D,-0.034590159,0.144719645
Plate10_A20_EIF5A_PTG,-0.030248416,0.015402964
Plate10_A21_GPANK1 (BAT4)_Santa,0.094004662,0.06420298
Plate10_A24_SLIRP_Abcam,0.074783497,0.118478309
Plate10_A4_G3BP1_Abnova,-0.000609947,0.035796055
Plate10_A5_DCD_Santa,0.01786361,0.046389387
Plate10_A6_HIST1H1D_Abcam,0.044150824,0.079694496
Plate10_A7_DCD_Santa,0.039616477,0.042661348
Plate10_A8_CSRP1_Abcam,0.002106005,0.046576805
Plate10_A9_DCD_Santa,0.173349195,0.088263535
Plate10_B10_TP73_Santa,-0.043839658,0.15667195
Plate10_B11_TLR2_Abcam,0.223526672,0.156638
Plate10_B12_Cdkn2a_Santa,-0.048993221,0.086040432
Plate10_B13_GPANK1(BAT4)_Abnova,0.052380397,0.030792724
Plate10_B14_Cdkn2a_Santa,0.068294153,0.013927999
Plate10_B15_GPANK1(BAT4)_Abcam,-0.037698951,0.058448482
Plate10_B16_NRN1_Santa,-0.079957863,0.039674342
Plate10_B17_PRG2_Abcam,-0.08773802,0.159190193
Plate10_B18_RUNX3_Santa,-0.158414484,0.098467564
Plate10_B19_PRG2_Abnova,0.096568812,0.033282326
Plate10_B2_ZYX_ABnova,-0.048982917,0.039648656
Plate10_B20_CLDN18_Santa,0.023974544,0.018276212
Plate10_B23_PPP2CA_CSignal,-0.02125946,0.045929291
Plate10_B24_MKI67_ABcam,-0.029103874,0.056994511
Plate10_B3_TSG101_Santa,0.069712519,0.025039699
Plate10_B4_PDIA3_Santa,-0.037544226,0.009159295
Plate10_B5_SKP2_Santa,0.002463434,0.079341328
Plate10_B6_KRAS_Santa,-0.247182741,0.290783356
Plate10_B8_TP63_Santa,-0.084530628,0.068315087
Plate10_C1_USF1_Santa,-0.049868286,0.068394703
Plate10_C10_CAPN3 (NCL1)_Sigma,0.033455016,0.022139786
Plate10_C11_Hif3a_Santa,-0.048850794,0.063479948
Plate10_C12_CD59_Abcam,0.082225136,0.310791344
Plate10_C13_HIF3A_Santa,-0.175410645,0.121997652
Plate10_C14_SRSF1 (SF2)_Abcam,-0.026406435,0.024206029
Plate10_C15_HIF1A_Santa,-0.123860444,0.125355612
Plate10_C16_TPI1_Abcam,0.073716374,0.180448902
Plate10_C17_HIF1A_Santa,-0.007643786,0.017026645
Plate10_C18_RALY_Abcam,0.001431044,0.01639795
Plate10_C19_HIF1A_Santa,0.047483777,0.079331657
Plate10_C2_CD44_Abcam,0.021890621,0.036003142
Plate10_C20_HSPB1_PTG,-0.017137147,0.023031679
Plate10_C21_TTR_Dako,0.040109502,0.160939015
Plate10_C22_PDIA3 (ERp57)_Enzo,0.067873096,0.025510872
Plate10_C23_MYC_Santa,-0.094355573,0.033165842
Plate10_C24_ILK_Sigma,0.019043933,0.088646464
Plate10_C3_USF1_Santa,-0.09247129,0.043018392
Plate10_C4_CSRP1_Abcam,0.055008899,0.066890513
Plate10_C5_MAP3K3_Santa,0.016621954,0.041052302
Plate10_C6_HNRPA2B1_Abnova,0.016704491,0.016237032
Plate10_C7_MAP3K3_Santa,0.004745129,0.026556457
Plate10_C8_CSRP1_PTG,0.017686752,0.016482467
Plate10_C9_MAP3K3_Santa,0.026779368,0.096637373
Plate10_D10_CRB3 _Santa,-0.030189216,0.109116635
Plate10_D11_IGFBP2_R&D,-0.076118031,0.261089115
Plate10_D14_CRP1 _Santa,-0.01245718,0.079578621
Plate10_D15_S100A11_Epitomics,-0.034566503,0.010538304
Plate10_D16_ARP _Santa,-0.008070815,0.089774942
Plate10_D18_TAGLN2 _Santa,-0.008674403,0.139222739
Plate10_D19_LY6D_Abnova,0.028339698,0.037444335
Plate10_D2_HIST1H1E_Upstate,0.068615191,0.172733525
Plate10_D20_TAGLN2_Santa,0.000309156,0.080152251
Plate10_D21_ALDH1A3_Abgent,-0.016436192,0.031417422
Plate10_D22_FETUB _Santa,-0.097186299,0.127998708
Plate10_D3_P4C8_Lampe_LampeLab,0.169599667,0.223263809
Plate10_D4_CA2_Abcam,0.055377441,0.014955935
Plate10_D5_PLA12_Lampe_LampeLab,0.016781197,0.021231064
Plate10_D6_CRB3 _Santa,0.028329462,0.075721783
Plate10_D7_S100A11_Abnova,0.109773844,0.040843069
Plate10_D8_CRB3 _Santa,0.035770203,0.090641197
Plate10_D9_A1BG_Hanash_Inhouse,-0.027818365,0.129061864
Plate10_E1_MYC_Santa,-0.144099475,0.133075753
Plate10_E10_ILK_Abcam,-0.077594307,0.115939566
Plate10_E12_Cy3 (not a gene)_Santa,-0.110152271,0.096724565
Plate10_E2_HNRPAB_Genway,-0.05922396,0.056829834
Plate10_E3_MAPK7_Santa,-0.082978613,0.085795756
Plate10_E4_ILK_PIERCE,0.060544179,0.089258368
Plate10_E5_RAB7A_Santa,0.093416973,0.084058344
Plate10_E6_GAR1 (NOLA1)_PTG,0.049158672,0.062402161
Plate10_E8_TXN _Abgent,0.169384169,0.365148739
Plate10_E9_ANXA5_Santa,-0.052409735,0.055723151
Plate10_F1_F7_Sigma,0.005085546,0.030458235
Plate10_F12_P4D1_Lampe_Lampe lab,-0.176381162,0.127582211
Plate10_F2_MED12_Santa,-0.053753175,0.043407409
Plate10_F3_ILK_Sigma,-0.025430571,0.019256532
Plate10_F4_MED12_Santa,0.008920588,0.067918504
Plate10_F6_PRKCSH _Santa,-0.098774941,0.15759832
Plate10_F7_VCL_Sigma,-0.18307271,0.194362003
Plate10_F8_PRKCSH  _Santa,-0.010618123,0.034011201
Plate10_G1_CTSD_CalBio,-0.263768353,0.398229438
Plate10_G10_PARP1_Sigma,-0.080748806,0.150977012
Plate10_G11_GJA1 (ser255)_Santa,-0.076200697,0.041996319
Plate10_G2_RANBP1_ABcam,0.074018543,0.0545493
Plate10_G3_Cx43NT1_LampeLab,-0.124186945,0.040065744
Plate10_G4_PDLIM1_ABnova,0.082649392,0.132549326
Plate10_G6_ORM1_Abnova,0.021481457,0.008311702
Plate10_G7_GJA1(pS373)_LampeLab,0.041281023,0.031189252
Plate10_G8_CTSD_R&D,0.03577407,0.0586412
Plate10_G9_GJA1 (ser262)_Santa,0.027273165,0.209337597
Plate10_H1_ZYX_Sigma,0.033892916,0.069335203
Plate10_H11_AHNAK_Abcam,0.020607453,0.033439879
Plate10_H2_ATF3_Santa,-0.001910883,0.033867646
Plate10_H4_Empty_Empty,-0.084700975,0.050458283
Plate10_H6_Empty_Empty,-0.045782885,0.135380982
Plate10_H7_RPLP2_Abgent,0.105851013,0.018636915
Plate10_H8_Empty_Empty,-0.037473313,0.121611461
Plate10_H9_ILK_Abgent,0.022595154,0.036591021
Plate2_A1_PTPN14_R&D,0.005656656,0.096648527
Plate2_A10_IGFBP1_Abcam,0.052082785,0.059945167
Plate2_A11_RET_R&D,-0.040379581,0.032620012
Plate2_A12_IL18RAP_Abcam,0.044650108,0.22590044
Plate2_A13_STX7_R&D,0.159044534,0.409732072
Plate2_A14_IL6_Abcam,0.071076122,0.077418531
Plate2_A17_GLI2_R&D,0.085813899,0.099702323
Plate2_A18_IRF9_Abcam,0.200428007,0.110089201
Plate2_A19_RTN4RL2_R&D,0.016775285,0.159539723
Plate2_A20_ITGA1_Abcam,-0.022810051,0.022506608
Plate2_A21_STAT5A_R&D,0.023635365,0.038953875
Plate2_A22_ITGA5 _Abcam,-0.022012375,0.027650571
Plate2_A23_SFRP1_R&D,0.020407321,0.117565085
Plate2_A24_ITGB3_Abcam,-0.021516981,0.046106033
Plate2_A5_JAK3_R&D,0.06928311,0.061668708
Plate2_A6_ICAM2_Abcam,-0.037083139,0.147927114
Plate2_A7_RELB_R&D,0.07397467,0.023492023
Plate2_A8_IFNGR1_Abcam,0.00991554,0.144525973
Plate2_A9_ROBO4_R&D,0.025651459,0.110637208
Plate2_B1_MMP-7_R&D,0.089065986,0.035696612
Plate2_B10_BMP7_AbD,0.085707158,0.064716824
Plate2_B11_COL4A3_Santa,-0.085285279,0.063224631
Plate2_B12_PLAUR_AbD,0.182191821,0.078061135
Plate2_B13_COL5A1_Santa,0.064792005,0.305570923
Plate2_B14_MUC17_AbD,0.054767889,0.048011044
Plate2_B15_COL5A3_Santa,0.05536849,0.078263515
Plate2_B16_KSR1_AbD,0.026969588,0.117096574
Plate2_B18_KRT7_AbD,-0.008346447,0.124202553
Plate2_B19_LAMB1_Santa,0.036049585,0.057009267
Plate2_B20_LILRB3_AbD,-0.007785846,0.049805988
Plate2_B21_CDKN2B_Santa,-0.089634311,0.16549923
Plate2_B22_GP1BA_AbD,-0.038755271,0.094003345
Plate2_B23_CDKN2B_Santa,-0.268678022,0.30264327
Plate2_B24_LRP1_AbD,-0.006416812,0.213358327
Plate2_B3_MMP-7_R&D,-0.030889138,0.099187265
Plate2_B4_DNAL4_USBio,0.111555266,0.056843215
Plate2_B5_SPARC/Osteonectin_R&D,-0.204782875,0.284734523
Plate2_B6_RASSF5_USBio,0.042728857,0.024152401
Plate2_B7_SPARC/Osteonectin_R&D,-0.050958034,0.095167281
