Protein,Delta,DeltaSquared
Plate10_E5_RAB7A_Santa,-0.098034011,0.112270132
Plate10_E6_GAR1 (NOLA1)_PTG,0.029972643,0.23039471
Plate10_E7_TNFRSF1B_Santa,-0.132106788,0.075669516
Plate10_E8_TXN _Abgent,0.007089941,0.078813469
Plate10_E9_ANXA5_Santa,0.081466773,0.09075169
Plate10_F1_F7_Sigma,-0.01606764,0.013002323
Plate10_F11_F7_Sigma,0.090779334,0.099970588
Plate10_F12_P4D1_Lampe_Lampe lab,-0.054661511,0.031407149
Plate10_F2_MED12_Santa,-0.029950939,0.042674317
Plate10_F3_ILK_Sigma,-0.193004359,0.136657569
Plate10_F4_MED12_Santa,-0.038692357,0.027631277
Plate10_F6_PRKCSH _Santa,-0.069632339,0.045801526
Plate10_F7_VCL_Sigma,-0.089579489,0.172301603
Plate10_F8_PRKCSH  _Santa,0.043496639,0.0410392
Plate10_F9_ZYX_Sigma,-0.065072672,0.08516557
Plate10_G1_CTSD_CalBio,-0.14326469,0.244494927
Plate10_G10_PARP1_Sigma,0.130118391,0.165462535
Plate10_G11_GJA1 (ser255)_Santa,0.177775105,0.060358291
Plate10_G2_RANBP1_ABcam,-0.005850424,0.003229156
Plate10_G3_Cx43NT1_LampeLab,-0.059762152,0.02764576
Plate10_G4_PDLIM1_ABnova,-0.072587276,0.346908503
Plate10_G5_Cx43CT1_LampeLab,-0.01466569,0.012589106
Plate10_G6_ORM1_Abnova,0.000361227,0.021472369
Plate10_G7_GJA1(pS373)_LampeLab,-0.029482001,0.013069658
Plate10_G8_CTSD_R&D,0.067805129,0.053033595
Plate10_G9_GJA1 (ser262)_Santa,-0.093182019,0.053614553
Plate10_H1_ZYX_Sigma,-0.14245288,0.040911114
Plate10_H11_AHNAK_Abcam,-0.118496302,0.038108338
Plate10_H12_Empty_Empty,0.139079166,0.321359977
Plate10_H2_ATF3_Santa,0.009808619,0.055211704
Plate10_H4_Empty_Empty,0.052218823,0.034181001
Plate10_H5_PTBP1_Abnova,-0.05682014,0.041726367
Plate10_H6_Empty_Empty,-0.12594273,0.056578596
Plate10_H7_RPLP2_Abgent,-0.129637142,0.064170575
Plate10_H8_Empty_Empty,-0.103811853,0.071458021
Plate10_H9_ILK_Abgent,0.086216687,0.03462353
Plate2_A1_PTPN14_R&D,-0.01326696,0.116658043
Plate2_A10_IGFBP1_Abcam,0.075602017,0.086555548
Plate2_A11_RET_R&D,-0.069815266,0.039904507
Plate2_A12_IL18RAP_Abcam,0.030507935,0.29083588
Plate2_A13_STX7_R&D,0.171256132,0.117680948
Plate2_A14_IL6_Abcam,-0.07978662,0.07502769
Plate2_A17_GLI2_R&D,0.008434077,0.146227708
Plate2_A18_IRF9_Abcam,0.109304785,0.06618384
Plate2_A19_RTN4RL2_R&D,-0.062745927,0.065196294
Plate2_A20_ITGA1_Abcam,-0.076230326,0.067334863
Plate2_A21_STAT5A_R&D,-0.174653738,0.060884011
Plate2_A22_ITGA5 _Abcam,-0.098366412,0.080144874
Plate2_A23_SFRP1_R&D,0.173229927,0.187760659
Plate2_A24_ITGB3_Abcam,-0.122810396,0.060790614
Plate2_A5_JAK3_R&D,-0.137167054,0.134494665
Plate2_A6_ICAM2_Abcam,-0.193724161,0.221596938
Plate2_A7_RELB_R&D,-0.173697469,0.134701652
Plate2_A8_IFNGR1_Abcam,-0.011106755,0.060230609
